OTU	lineage	X12	X11	X10	X14	X17	X15	X16	X13	X24	X26	X23	X25	X18	X20	X19	X21
OTU68	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0
OTU69	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	946	0	0	0	0	0	0	0	0	0	0	71	929
OTU70	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	0	0
OTU74	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0
OTU75	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	4328	546	0	0	0	0	0	0
OTU76	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae	0	0	0	0	0	0	0	0	0	0	0	2952	0	0	0	0
OTU77	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	4998	0	0	0	0	0	0	0	0	0	0	0
OTU79	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU81	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	3127	0	0	0	0	0	0
OTU82	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	2376	0	0	0	0	0	0
OTU83	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	322	0	1144	0	0	1733	0	0	1504	0	860	0	0
OTU87	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	3807	0	0	0	727	0	0	0	0	0	0	0	0	0	0
OTU88	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	1228	0	0	0	281	0	0	0	0	0	0	0	0
OTU89	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2183
OTU90	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0
OTU92	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	970	1513	0	0	0	0	0	0	0	0	0	0	0	0	229
OTU93	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU94	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU98	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	2267	0	0	0	0	0	0	55	0	0
OTU99	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602
OTU101	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	1259	0	0	2245	0	0	0	0
OTU102	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	33	0	0	0	0	0	0	26	0	0	0	0
OTU103	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU111	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	0
OTU112	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	799	0	0	0	0	0	0	0	0	0	0	0	211	130
OTU116	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
OTU122	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU123	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	122	372	0	0	0	0	308	0	0	0	0	0	0	117	77
OTU124	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Nitidulidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU129	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	585	372	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU131	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	120	0	0	0	0	0	0	0	182	583	0	74	0	0	0	0
OTU132	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU135	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	911	0	0	0	0	0	0
OTU136	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU137	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU138	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU141	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0
OTU147	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	752	0	0	0	156	827	0	0	0	94	0	0	0
OTU148	r__root;p__Arthropoda;c__Insecta	0	997	372	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU149	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	2188	0	0	0	190	0	0	0	0	0	0	0	0
OTU152	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0	0
OTU156	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU159	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
OTU160	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	890	0	0	0	0	0	0	0	0	0	0	0
OTU161	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	0	0	0	0	0	0	0	0	736	0	0
OTU163	r__root;p__Arthropoda;c__Insecta;o__Odonata;f__Lestidae	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU168	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	310	783	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU171	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	0	0	0	0	0	0	0	0	0	0	674	827	0
OTU172	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	278	0	0	0	3680	0	0	0	0	0	0
OTU174	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptiliidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU179	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
OTU180	r__root;p__Arthropoda;c__Insecta;o__Trichoptera;f__Philopotamidae	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	0	0
OTU182	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0
OTU187	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU192	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	0	0	0	0	958	0	0	0	0	36	0	0	0
OTU194	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU198	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0
OTU200	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	190	0	0	0	0	0	0	0	0	0	0	0	306	239	0
OTU201	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0
OTU204	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	0	0	0	0	0	0	0	0	0	0	39	392	794	0
OTU205	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	290	149	0	0	0	0	0	0	0	0
OTU206	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	91	0	0	292	0	0	0	0	0	0	233
