otu	lineage	X14	X22	X17	X24	X11	X10	X20	X23	X21	X18	X25	X12	X16	X15
OTU128	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterophoridae	0	0	6594	346	816	0	0	0	177	518	0	0	0	0
OTU129	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	4918	0	0	0
OTU131	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	270	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU132	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	108	0
OTU134	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	1550	0	0	0	0	0	0	0	0
OTU136	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	2779	0	0
OTU137	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	0	0	0	432	0	0	0	0	0	1189	0	0	0	0
OTU139	r__root;p__Arthropoda	0	0	0	0	0	0	61	0	0	0	0	0	0	0
OTU143	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	87	0	370	0	0	0	0	844	0	0	0	0	0
OTU146	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	80	1314	0	0	0	0	0	0	0	0	0	2196	0	0
OTU149	r__root;p__Arthropoda;c__Insecta	269	0	0	0	820	1093	0	0	0	0	0	0	0	0
OTU154	r__root;p__Arthropoda;c__Insecta;o__Psocodea	0	0	0	0	0	0	0	0	0	0	0	2496	0	0
OTU156	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae	0	89	0	465	0	0	0	0	0	0	0	0	0	0
OTU159	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	0	0	0	0	505	0	0	0	0	0	0	1352
OTU160	r__root;p__Arthropoda;c__Insecta;o__Blattodea	1690	0	0	0	0	0	0	0	265	0	0	0	0	0
OTU161	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	2710	0
OTU162	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	1924	0	0	0	0	0	0	0
OTU164	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae	0	0	0	0	0	0	0	0	0	0	0	0	3105	0
OTU167	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	1933	0	389	0	0	0
OTU170	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	42	0	0	0	36
OTU173	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	590	0	1551
OTU176	r__root;p__Arthropoda;c__Insecta;o__Blattodea	384	603	0	0	0	0	427	0	0	0	0	0	0	0
OTU180	r__root;p__Arthropoda;c__Insecta;o__Odonata;f__Coenagrionidae	0	0	0	0	0	0	0	0	2047	0	0	0	0	0
OTU181	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	2037	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae	0	0	0	137	0	0	0	0	0	0	0	0	0	0
OTU191	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	0	1956
OTU192	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	1179	0
OTU193	r__root;p__Arthropoda;c__Insecta	161	0	0	40	0	0	0	0	0	0	0	0	323	730
OTU199	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae	0	0	0	179	0	0	0	0	585	1345	0	0	0	0
OTU201	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	1986	1041	0	0	0	0	0	0	0	0
OTU203	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	1638	0	0
OTU204	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	240
OTU205	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	202	0	0	0	0	0	0	0	0	0	0
OTU206	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	60	1656	0	0	0	0	0	0	869	0	0	0	0
OTU207	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	601	0	2207
OTU213	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	173	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae	0	0	0	0	0	0	0	0	0	0	1404	0	0	0
OTU216	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae	0	45	0	864	89	0	0	0	0	0	0	134	0	210
OTU217	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	474	0	0	0	0	0	0	0	1786	0	0	0	0
OTU218	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	0	0	0	0	0	0	0	1411	0	0	0
OTU219	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae	0	0	0	0	0	0	0	0	0	0	0	0	0	1448
OTU220	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	1494	0	0	0	0
OTU222	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	1381	0
OTU225	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	1365	0	0	0	0	0	0	0	0	0	0
OTU226	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Coleophoridae	0	0	0	0	331	0	0	0	1104	0	0	0	0	0
OTU227	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	1793	0	0	0	0	0	0	0	0
OTU228	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	0	0	0	0	3763	0	0
OTU230	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	809
OTU232	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	1651
OTU238	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	560	0	0	0	0	0	0	0
OTU244	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	987	0	0	230	0	0	0	0	0	0	0	0
OTU253	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae	0	1164	0	0	0	0	0	0	0	0	0	0	0	0
OTU254	r__root;p__Arthropoda;c__Insecta;o__Neuroptera	0	0	0	0	1920	0	0	0	0	0	0	0	0	0
OTU255	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	811	0	0
OTU256	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	936	0	0	0	0	0	0	0	182	0	0	0	0
OTU258	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	1821	0	0	0
OTU261	r__root;p__Arthropoda;c__Insecta	1116	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU263	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	56	0	0	0	0	0	0	262	0	829	0
OTU264	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	162	0	0	0	0	0	0	0	0	0
OTU272	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	1055	0	0	0	0
OTU275	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	153	0	542	0	0	0	0	0	0	0	0	0	0	0
OTU283	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	2457	0	0	0	0	0	0	0	0	0
OTU288	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae	0	0	0	0	0	0	0	935	0	0	0	0	0	0
