otu	lineage	X14	X22	X17	X24	X11	X10	X20	X23	X21	X18	X25	X12	X16	X15
OTU694	r__root;p__Arthropoda;c__Insecta;o__Blattodea	239	0	0	0	0	0	0	0	0	0	0	0	58	0
OTU695	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	34
OTU697	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	148	0	0
OTU698	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae	0	0	0	0	0	0	0	0	148	0	0	0	0	0
OTU699	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae	0	0	0	0	0	0	0	0	0	0	0	249	0	0
OTU705	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	295	0
OTU707	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0	0	0	0	274	0	0	0	0	0	0	0	0	0
OTU708	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Milichiidae	0	0	0	0	0	0	55	0	0	0	0	0	0	0
OTU710	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae	0	0	0	144	0	0	0	0	0	0	0	0	0	0
OTU711	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	143	0	0	0	0	0
OTU718	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	140	0	0	0	0	0	0	0	0	0	0	0	0
OTU727	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	179	0	0	0
OTU729	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	137	0
OTU733	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	135	0	0	0	0	0	0	0	0
OTU745	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	132
OTU752	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	156	0	0	0	0	0	0	0	0	0
OTU766	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae	0	0	0	0	0	0	0	0	127	0	0	0	0	0
OTU767	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	255	0	0	0
OTU776	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	124	0	0
OTU778	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	57	0	0	0	0	0	0	0
OTU794	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	116	0
OTU797	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	29	0	0	0	0	0	0	0
OTU805	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	112
OTU810	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	28	0	0	0	0	0	0	0
OTU811	r__root;p__Arthropoda;c__Insecta;o__Blattodea;f__Kalotermitidae	40	0	0	0	0	0	0	0	126	0	0	0	0	0
OTU814	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	48	0	0	0	0	0	0	0
OTU822	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	159	0	0
OTU825	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	109	0	0
OTU829	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	108	0
OTU830	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	98	0	0	0	0	0	0	0
OTU831	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	108	0
OTU834	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	107	0	0	0	0	0	0	0	0
OTU839	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	106	0	0
OTU843	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae	0	46	0	0	0	0	0	0	58	0	0	0	0	0
OTU846	r__root;p__Arthropoda;c__Insecta;o__Embioptera;f__Oligotomidae	0	0	0	0	0	0	0	0	0	0	0	331	0	0
OTU859	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	101	0	0	0	0	0	0	0	0
OTU865	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	224
OTU868	r__root;p__Arthropoda;c__Insecta;o__Psocodea;f__Philotarsidae	0	0	0	0	0	218	0	0	0	0	0	0	0	0
OTU870	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	99	0	0	0	0	0	0	0	0	0	0	0	0
OTU878	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	32	0
OTU881	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	141	0	0	0
OTU883	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	213	0	0	0	0	0	0	0	0	0	0	0
OTU884	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae	0	0	0	0	0	0	0	0	0	0	0	0	0	96
OTU889	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	95	0	0	0	0	0	0	0	0
OTU891	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	95	0	0
OTU903	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	92	0	0	0	0	0	0	0	0	0	0	0
OTU934	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	87	0	0	0	0	0	0	0	0	0	0	0
OTU950	r__root;p__Arthropoda;c__Insecta	0	0	0	0	84	0	0	0	0	0	0	0	0	0
OTU954	r__root;p__Arthropoda;c__Insecta;o__Blattodea;f__Blaberidae	0	0	0	0	0	0	0	0	0	83	0	0	0	0
OTU959	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	83	0
OTU962	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	142	0
OTU964	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	82	0	0
OTU973	r__root;p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae	0	0	0	0	0	0	0	0	0	81	0	0	0	0
OTU979	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	80	0
OTU987	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	78	0	0
OTU1001	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	75	0
OTU1010	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	74
OTU1012	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	45	0	0	0	0	0	0	0	103
OTU1015	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Lygaeidae	0	0	73	0	0	0	0	0	0	0	0	0	0	0
OTU1023	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	0	0	72	0	0
OTU1027	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	71	0	0	0	0	0	0	0	0	0	0	0
OTU1031	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	71
OTU1037	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	70	0	0	0	0	0	0	0	0	0	0	0
OTU1043	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	69	0	0	0	0	0	0	0	0
OTU1046	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	69
OTU1061	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	65	0
OTU1066	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	64	0	0
OTU1071	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	64	0	0	0	0	0	0	0
OTU1072	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae	0	0	0	0	64	0	0	0	0	0	0	0	0	0
OTU1091	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	62	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1112	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae	0	0	0	0	0	0	0	0	0	0	0	59	0	0
OTU1113	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae	0	0	0	0	0	0	0	0	59	0	0	0	0	0
OTU1114	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0	0	0	0	0	0	0	0	0	0	0	0	59	0
OTU1122	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	58
OTU1139	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	0	0	0	0	0	0	56	0	0	0
OTU1145	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	56	0	0	0	0	0	0	0	0	0	0	0	0
OTU1148	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae	0	0	0	56	0	0	0	0	0	0	0	0	0	0
OTU1155	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	55	0
OTU1166	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	54	0	0	0	0	0	0	0	0
OTU1168	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	54	0
OTU1176	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0	0	0	0	0	0	0	0	0	0	0	0	0	52
OTU1179	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	52	0	0	0	0	0	0	0	0
OTU1188	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	79	0	0	0	0	0	0	0	0
OTU1192	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	50	0	0
OTU1198	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	116	0	0	0	0	0	0	0	0
OTU1240	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	66	0	0	0	0	0	0	0	0	0	0	0
OTU1242	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	0	88	0	0	0	0	0	0	0	0	0
OTU1260	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	0	0	0	45	0	0
OTU1261	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0	0	0	0	45	0	0	0	0	0	0	0	0	0
OTU1263	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	45	0	0	0	0	0	0	0	0
OTU1265	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	45	0	0	42	0	0	0	0	0	0	0
OTU1274	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	62	0	0	0	0	0	43	0	0	0	0	0	0	0
OTU1275	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	73	0	0	0	0	0	0	0	0
OTU1296	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	42	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1304	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	41	0	0	0	0	0	0	0	0	0	0	0
OTU1305	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	41	0
OTU1306	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	41	0	0	0	0	0	0	0	0	0	0
OTU1309	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	41	0	0
OTU1312	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	41	0	0	0
OTU1323	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	40	0	0	0	0	0	0	0	0	0	0
OTU1340	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	39
OTU1359	r__root;p__Arthropoda	0	0	0	0	0	0	0	0	0	0	0	37	0	0
OTU1361	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	37	0	0	0
OTU1363	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	37
OTU1368	r__root;p__Arthropoda;c__Collembola	0	0	0	0	0	0	0	0	0	0	0	0	37	0
OTU1391	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	35
OTU1397	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	34
OTU1431	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	32	0	0	0	0	0
OTU1433	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae	0	0	0	0	0	31	0	0	0	0	0	0	0	0
OTU1438	r__root;p__Arthropoda;c__Collembola	0	0	0	0	0	0	0	0	0	0	0	0	31	0
OTU1465	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	29	0	0	0
OTU1475	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	28	0	0	0	0	0	0	0	0	0	0	0	0
OTU1482	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	27	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1493	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	26	0	0
OTU1497	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	25	0	0
OTU1498	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OTU1503	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU1509	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	24	0	0	0	0	0	0	0
