10	10	10	1
10	17	17	2
10	24	24	3
11	11	11	1
11	18	18	2
11	25	25	3
12	12	12	1
12	19	19	2
12	26	26	3
13	13	13	1
13	20	20	2
13	27	27	3
14	14	14	1
14	21	21	2
14	28	28	3
15	15	15	1
15	22	22	2
15	29	29	3
16	16	16	1
16	23	23	2
16	30	30	3
17	17	17	1
17	24	24	2
17	31	31	3
18	18	18	1
18	25	25	2
18	32	32	3
19	19	19	1
19	26	26	2
19	33	33	3
20	20	20	1
20	27	27	2
20	34	34	3
21	21	21	1
21	28	28	2
21	35	35	3
23	22	22	1
23	29	29	2
23	36	36	3
24	23	23	1
24	30	30	2
24	37	37	3
25	24	24	1
25	31	31	2
25	38	38	3
26	25	25	1
26	32	32	2
26	39	39	3
