10	13	13	1
10	20	20	2
10	27	27	3
11	14	14	1
11	21	21	2
11	28	28	3
12	15	15	1
12	22	22	2
12	29	29	3
13	16	16	1
13	23	23	2
13	30	30	3
14	17	17	1
14	24	24	2
14	31	31	3
15	18	18	1
15	25	25	2
15	32	32	3
16	19	19	1
16	26	26	2
16	33	33	3
17	20	20	1
17	27	27	2
17	34	34	3
18	21	21	1
18	28	28	2
18	35	35	3
19	22	22	1
19	29	29	2
19	36	36	3
20	23	23	1
20	30	30	2
20	37	37	3
21	24	24	1
21	31	31	2
21	38	38	3
22	25	25	1
22	32	32	2
22	39	39	3
23	26	26	1
23	33	33	2
23	40	40	3
24	27	27	1
24	34	34	2
24	41	41	3
25	28	28	1
25	35	35	2
25	42	42	3
Blank1	53	53	1
Blank1	2	2	2
Blank1	9	9	3
Blank2	54	54	1
Blank2	3	3	2
Blank2	10	10	3
Blank3	55	55	1
Blank3	4	4	2
Blank3	11	11	3
Blank4	56	56	1
Blank4	5	5	2
Blank4	12	12	3
Blank5	57	57	1
Blank5	6	6	2
Blank5	13	13	3
Pos	58	58	1
Pos	7	7	2
Pos	14	14	3
